step,held_p,duration,is_locked,threshold
0,0.5573755502700806,0,True,0.6
1,0.35150766372680664,1,True,0.6
2,0.34660279750823975,2,False,0.6
3,0.4060741662979126,1,True,0.6
4,0.40606170892715454,2,False,0.6
5,0.3544467091560364,1,True,0.6
6,0.33814698457717896,2,False,0.6
7,0.3615531027317047,1,True,0.6
8,0.37366724014282227,2,False,0.6
9,0.33889228105545044,1,True,0.6
10,0.3545559048652649,2,False,0.6
11,0.38327664136886597,1,True,0.6
12,0.403978168964386,2,False,0.6
13,0.35866665840148926,1,True,0.6
14,0.37096861004829407,2,False,0.6
15,0.39628663659095764,1,True,0.6
16,0.3941611349582672,2,False,0.6
17,0.3967127203941345,1,True,0.6
18,0.41434919834136963,2,False,0.6
19,0.3867429196834564,1,True,0.6
20,0.41097891330718994,2,False,0.6
21,0.4693036675453186,1,True,0.6
22,0.47085198760032654,2,False,0.6
23,0.504324197769165,1,True,0.6
24,0.5108271837234497,2,False,0.6
25,0.5079950094223022,1,True,0.6
26,0.5063889622688293,2,False,0.6
27,0.5849801301956177,1,True,0.6
28,0.5740979909896851,2,False,0.6
29,0.5232553482055664,1,True,0.6
30,0.547332763671875,2,False,0.6
31,0.5901584625244141,1,True,0.6
32,0.5905236601829529,2,False,0.6
33,0.5636026859283447,1,True,0.6
34,0.5458934307098389,2,False,0.6
35,0.4577745497226715,1,True,0.6
36,0.45021185278892517,2,False,0.6
37,0.3531395196914673,1,True,0.6
38,0.3450714647769928,2,False,0.6
39,0.37617912888526917,1,True,0.6
40,0.3707243800163269,2,False,0.6
41,0.37721431255340576,1,True,0.6
42,0.3829689919948578,2,False,0.6
43,0.40633895993232727,1,True,0.6
44,0.4044491946697235,2,False,0.6
45,0.30814090371131897,1,True,0.6
46,0.3014598488807678,2,False,0.6
47,0.32666224241256714,1,True,0.6
48,0.3228283226490021,2,False,0.6
49,0.2706879675388336,1,True,0.6
50,0.2711670398712158,2,False,0.6
51,0.36143040657043457,1,True,0.6
52,0.3405512571334839,2,False,0.6
53,0.2799166142940521,1,True,0.6
54,0.26155397295951843,2,False,0.6
55,0.26180216670036316,1,True,0.6
56,0.26577290892601013,2,False,0.6
